# Exercise 10
-------------------------------------------------------------------------
# List all of the person names born between 8PM and 9PM but not in the month of February


mysql>  SELECT
            CONCAT (firstName, " ", lastName) AS name, birthday
        FROM
            Entry
        WHERE
            (HOUR(birthday) BETWEEN '20' AND '21')
                AND
            MONTH(birthday) != '02'
        ORDER BY
            name;

+--------------------+---------------------+
| name               | birthday            |
+--------------------+---------------------+
| Abigail Roach      | 1998-12-04 20:33:02 |
| Addison Bradford   | 1980-03-29 20:57:32 |
| Addison Murray     | 1967-12-30 20:33:09 |
| Aiko Flores        | 1946-08-22 20:47:29 |
| Aladdin Adkins     | 1967-12-22 20:04:23 |
| Alec Walton        | 1968-10-11 20:23:35 |
| Alfonso Bird       | 1954-11-12 20:44:52 |
| Amal Cooke         | 1969-12-09 20:17:39 |
| Amal Wynn          | 1961-11-01 20:52:03 |
| Amela Bell         | 1946-01-15 20:10:27 |
| Amela Carlson      | 1976-04-14 20:39:34 |
| Aquila Burt        | 1981-12-09 20:56:31 |
| Aretha French      | 1950-03-19 20:15:39 |
| Ariana Ray         | 1986-11-04 20:53:03 |
| Ashton Austin      | 1952-06-14 20:39:45 |
| Athena Hicks       | 1985-01-29 20:14:03 |
| Aubrey Haynes      | 1951-06-16 20:40:23 |
| August Oneal       | 1968-12-05 20:11:39 |
| Aurelia Gamble     | 1955-09-17 20:25:28 |
| Aurora Santiago    | 1957-05-16 20:23:06 |
| Avye Potts         | 1984-10-17 20:03:30 |
| Axel Mcleod        | 1966-09-07 20:50:56 |
| Baker Acosta       | 1973-07-18 20:32:06 |
| Baker Mccoy        | 1991-05-25 20:25:28 |
| Baxter Oneal       | 1957-09-16 20:59:38 |
| Beatrice Whitfield | 1949-09-17 20:28:51 |
| Beck Bennett       | 1949-07-07 20:09:59 |
| Blossom Franco     | 1998-01-09 20:24:51 |
| Blythe Navarro     | 1995-05-04 20:42:47 |
| Branden Fry        | 1952-05-18 20:26:05 |
| Brent Lee          | 1957-03-26 20:14:26 |
| Briar Small        | 1981-01-14 20:58:43 |
| Brynn Stein        | 1964-01-03 20:43:48 |
| Cain Long          | 1977-11-02 20:52:56 |
| Carol Fowler       | 1995-05-21 20:42:10 |
| Carolyn Bailey     | 1977-05-20 20:31:20 |
| Cecilia Bryan      | 1950-10-25 20:06:58 |
| Chaim Camacho      | 1976-04-27 20:36:07 |
| Chaim Powell       | 1945-10-31 20:56:06 |
| Charles Kirk       | 1986-11-14 20:57:10 |
| Cherokee Fischer   | 2000-04-23 20:17:17 |
| Christen Joyner    | 1987-12-03 20:06:57 |
| Christopher Tanner | 1981-05-31 20:38:16 |
| Cody Ramirez       | 1954-08-06 20:22:25 |
| Colleen Downs      | 1952-04-08 20:50:53 |
| Colton Browning    | 1946-08-29 20:51:06 |
| Colton Gallegos    | 1963-03-12 20:08:29 |
| Conan Mullen       | 1961-09-15 20:37:29 |
| Connor Bruce       | 1954-11-07 20:17:00 |
| Cruz Combs         | 1984-01-24 20:08:06 |
| Damon Roy          | 1958-06-18 20:30:34 |
| Declan Parks       | 1970-06-23 20:40:03 |
| Deirdre Farley     | 1955-08-30 20:36:57 |
| Devin Bishop       | 1962-01-19 20:45:35 |
| Diana Bowen        | 1962-12-19 20:25:57 |
| Dominique Randolph | 1991-04-24 20:50:29 |
| Doris Dixon        | 1974-10-30 20:02:52 |
| Driscoll Jacobson  | 1947-06-03 20:46:38 |
| Echo Dominguez     | 1985-03-29 20:54:14 |
| Echo Sosa          | 1951-10-02 20:23:55 |
| Elijah Espinoza    | 1960-03-16 20:03:52 |
| Elizabeth Morin    | 1950-05-17 20:47:18 |
| Ella Beasley       | 1993-01-08 20:27:09 |
| Elton Head         | 1966-10-19 20:26:28 |
| Emerald Hopkins    | 1977-05-27 20:54:24 |
| Emery Barnes       | 1985-05-09 20:32:41 |
| Eugenia Meyer      | 1951-11-06 20:20:34 |
| Felicia Walls      | 1954-01-16 20:05:33 |
| Flavia Kirby       | 1985-05-29 20:17:29 |
| Fletcher Decker    | 1955-08-26 20:50:54 |
| Fletcher Everett   | 1961-05-13 20:02:32 |
| Fletcher York      | 1959-06-23 20:19:53 |
| Fleur Guthrie      | 1981-09-24 20:05:13 |
| Fleur Lancaster    | 1965-10-28 20:07:12 |
| Frances Brooks     | 1997-08-10 20:23:20 |
| Francesca Rich     | 1973-10-21 20:04:25 |
| Fuller Gentry      | 1977-04-09 20:47:25 |
| Gage Mitchell      | 1964-08-05 20:10:04 |
| Gareth Thomas      | 1966-07-19 20:36:03 |
| Gemma Hoffman      | 1961-05-02 20:00:42 |
| Genevieve Booth    | 1985-06-21 20:49:03 |
| George Gutierrez   | 1992-05-24 20:10:28 |
| Gisela Mooney      | 1970-03-19 20:11:29 |
| Grace Anderson     | 1963-07-12 20:01:26 |
| Griffin Allen      | 1989-07-23 20:04:44 |
| Griffin Carter     | 1957-04-06 20:53:21 |
| Halee Best         | 1948-08-02 20:32:47 |
| Hanna Melendez     | 1955-06-01 20:27:54 |
| Harding Meyer      | 2000-01-18 20:59:18 |
| Harper Chavez      | 1974-09-13 21:00:00 |
| Harrison English   | 1998-08-22 20:10:21 |
| Harrison Odom      | 1979-01-29 20:34:48 |
| Hayes Johnson      | 1949-03-09 20:39:39 |
| Hayfa Fulton       | 1983-07-08 20:36:20 |
| Heather Snow       | 1992-03-20 20:11:26 |
| Hedy Barron        | 1953-10-28 20:59:17 |
| Herrod Hudson      | 1994-03-26 20:13:25 |
| Hilary Campbell    | 1956-11-09 20:36:29 |
| Hillary Hebert     | 1988-07-22 20:36:22 |
| Hillary Justice    | 1973-06-26 20:35:38 |
| Honorato Head      | 1984-12-03 20:15:31 |
| Hop Taylor         | 1979-05-01 20:19:46 |
| Hunter Sweet       | 1946-12-11 20:38:11 |
| Hyacinth Gamble    | 1959-04-22 20:09:46 |
| Idola Kelley       | 1984-11-03 20:09:20 |
| Idona Rhodes       | 1975-06-11 20:24:23 |
| Ima Kirkland       | 1982-06-18 20:21:35 |
| Ima Manning        | 1989-03-10 20:45:05 |
| Ina Buckner        | 1997-05-21 20:24:12 |
| Inga Duke          | 1975-12-07 20:27:27 |
| Ivana Wong         | 1973-03-30 20:52:45 |
| Ivor Powers        | 1967-08-12 20:23:54 |
| Ivy Bowman         | 1967-08-14 20:04:41 |
| Jada Wallace       | 1977-05-24 20:39:59 |
| James Patrick      | 1973-09-07 20:19:15 |
| Jared Shannon      | 1957-10-25 20:58:46 |
| Jason Cantu        | 1962-09-17 20:42:11 |
| Jason Medina       | 1956-11-23 20:33:40 |
| Jayme Cleveland    | 1997-11-19 20:21:27 |
| Jayme Hunt         | 1980-10-20 20:48:23 |
| Jesse Russell      | 1948-03-15 20:39:13 |
| Joan Reese         | 1979-09-24 20:56:56 |
| John Whitehead     | 1984-11-08 20:24:01 |
| Jordan Mayer       | 1981-04-05 20:13:29 |
| Josephine Casey    | 1970-12-27 20:47:44 |
| Judith Dotson      | 1982-10-25 20:14:24 |
| Justina Frank      | 1985-05-12 20:01:34 |
| Kadeem Crawford    | 1997-05-15 20:23:43 |
| Kaitlin Lara       | 1992-01-23 20:57:05 |
| Kalia Wade         | 1955-09-08 20:39:45 |
| Karly Williams     | 1973-01-30 20:59:17 |
| Karyn Mcconnell    | 1984-05-19 20:16:45 |
| Katell Tanner      | 1989-05-02 20:58:57 |
| Keefe Frye         | 1983-11-06 20:57:09 |
| Keelie Spence      | 1998-11-11 20:44:58 |
| Kellie Gutierrez   | 2000-03-12 20:11:04 |
| Kessie Richards    | 1975-08-06 20:52:28 |
| Kibo Alston        | 1949-03-06 20:11:11 |
| Kitra Henson       | 1974-11-15 20:26:32 |
| Kitra Mckay        | 1998-12-09 20:35:39 |
| Kyla Carter        | 1998-03-09 20:10:32 |
| Kyle Blake         | 1959-08-13 20:29:11 |
