# Exercise 12
-------------------------------------------------------------------------
# List 100 phone numbers in separated parts: country code, area code and line number


mysql>  SELECT
            "1" AS countyCode,
            CASE SUBSTRING(content, 1, 1)
                WHEN '(' THEN SUBSTRING(content, 2, 3)
                WHEN '1' THEN SUBSTRING(content, 3, 3)
                
            END
            AS areaCode,
            RIGHT(content, 8) AS lineNum
        FROM
            Phone
        LIMIT 100;

+------------+----------+----------+
| countyCode | areaCode | lineNum  |
+------------+----------+----------+
| 1          | 726      | 732-1076 |
| 1          | 646      | 640-1430 |
| 1          | 111      | 396-3055 |
| 1          | 605      | 230-7173 |
| 1          | 397      | 966-5700 |
| 1          | 594      | 756-8455 |
| 1          | 487      | 897-3861 |
| 1          | 282      | 869-7478 |
| 1          | 255      | 647-1196 |
| 1          | 169      | 195-3964 |
| 1          | 719      | 441-1506 |
| 1          | 840      | 607-2973 |
| 1          | 956      | 901-1794 |
| 1          | 778      | 799-6921 |
| 1          | 297      | 648-9955 |
| 1          | 392      | 459-7615 |
| 1          | 138      | 486-5328 |
| 1          | 504      | 381-1187 |
| 1          | 236      | 569-9186 |
| 1          | 427      | 373-9039 |
| 1          | 170      | 776-2226 |
| 1          | 588      | 653-2753 |
| 1          | 401      | 921-5802 |
| 1          | 439      | 275-5002 |
| 1          | 553      | 761-8526 |
| 1          | 330      | 317-3260 |
| 1          | 793      | 537-0227 |
| 1          | 367      | 706-0447 |
| 1          | 620      | 399-2377 |
| 1          | 391      | 520-2816 |
| 1          | 136      | 155-0342 |
| 1          | 878      | 746-8732 |
| 1          | 869      | 950-7777 |
| 1          | 346      | 107-9046 |
| 1          | 569      | 964-0253 |
| 1          | 475      | 816-1004 |
| 1          | 725      | 857-1097 |
| 1          | 698      | 172-7372 |
| 1          | 981      | 736-3792 |
| 1          | 657      | 407-1675 |
| 1          | 466      | 579-3267 |
| 1          | 983      | 368-1507 |
| 1          | 786      | 458-8601 |
| 1          | 354      | 198-5030 |
| 1          | 149      | 369-1695 |
| 1          | 361      | 964-9279 |
| 1          | 379      | 235-1644 |
| 1          | 566      | 325-0433 |
| 1          | 219      | 525-1191 |
| 1          | 677      | 950-1255 |
| 1          | 688      | 419-6102 |
| 1          | 533      | 316-9295 |
| 1          | 462      | 901-5262 |
| 1          | 245      | 422-5333 |
| 1          | 882      | 368-5510 |
| 1          | 496      | 403-4685 |
| 1          | 398      | 373-3241 |
| 1          | 694      | 793-5879 |
| 1          | 348      | 539-4214 |
| 1          | 968      | 455-4730 |
| 1          | 875      | 858-4572 |
| 1          | 895      | 212-1031 |
| 1          | 759      | 223-5391 |
| 1          | 668      | 633-3815 |
| 1          | 323      | 413-7069 |
| 1          | 648      | 342-6096 |
| 1          | 929      | 521-3906 |
| 1          | 486      | 621-7392 |
| 1          | 435      | 764-5848 |
| 1          | 919      | 875-6545 |
| 1          | 403      | 500-8533 |
| 1          | 639      | 884-2557 |
| 1          | 532      | 822-2676 |
| 1          | 132      | 239-8228 |
| 1          | 737      | 500-9927 |
| 1          | 495      | 278-4667 |
| 1          | 138      | 234-7461 |
| 1          | 821      | 713-2972 |
| 1          | 899      | 354-9609 |
| 1          | 895      | 316-2615 |
| 1          | 666      | 270-0985 |
| 1          | 470      | 382-8117 |
| 1          | 305      | 831-2727 |
| 1          | 771      | 386-8454 |
| 1          | 667      | 202-1942 |
| 1          | 222      | 852-5376 |
| 1          | 414      | 108-5268 |
| 1          | 765      | 337-8274 |
| 1          | 903      | 918-8276 |
| 1          | 192      | 744-4834 |
| 1          | 451      | 198-7309 |
| 1          | 585      | 417-0600 |
| 1          | 814      | 238-5737 |
| 1          | 944      | 125-2712 |
| 1          | 357      | 332-2386 |
| 1          | 504      | 941-7697 |
| 1          | 492      | 719-2566 |
| 1          | 831      | 209-7988 |
| 1          | 898      | 444-3041 |
| 1          | 388      | 930-6692 |
+------------+----------+----------+
