# Exercise 17
-------------------------------------------------------------------------
# Return a list of adresses ordered by length of the combined columns addressLine1 and city


mysql>  SELECT
            CONCAT_WS(', ', addressLine1, city) as address,
            LENGTH(CONCAT_WS(', ', addressLine1, city)) AS length
        FROM
            Address
        ORDER BY
            LENGTH(address) DESC;



+---------------------------------------------------------------+--------+
| address                                                       | length |
+---------------------------------------------------------------+--------+
| P.O. Box 345, 7120 Cras St., Curon Venosta/Graun im Vinschgau |     61 |
| P.O. Box 334, 5405 Consectetuer Avenue, Sint-Denijs-Westrem   |     59 |
| P.O. Box 492, 1647 Consectetuer Av., Sint-Kwintens-Lennik     |     57 |
| P.O. Box 284, 8548 Sed St., San Juan (San Juan de Tibás)      |     56 |
| P.O. Box 606, 269 Scelerisque Avenue, Cisterna di Latina      |     56 |
| P.O. Box 999, 8706 Cursus Rd., Saint-Eug?ne-de-Ladri?re       |     55 |
| P.O. Box 880, 7019 Justo. Ave, Saint-Eug?ne-de-Guigues        |     54 |
| P.O. Box 382, 466 Nam Ave, Sint-Gillis-bij-Dendermonde        |     54 |
| P.O. Box 998, 9170 Luctus Av., Jaboatão dos Guararapes        |     54 |
| P.O. Box 142, 7945 Felis Rd., Santo Stefano Quisquina         |     53 |
| Ap #959-4549 Nullam Street, L'Hospitalet de Llobregat         |     53 |
| P.O. Box 770, 1908 Elit Rd., Saint-Eug?ne-de-Ladri?re         |     53 |
| P.O. Box 697, 2078 Aliquet Rd., Saint-Dié-des-Vosges          |     52 |
| Ap #847-3452 Tincidunt Rd., Villafranca in Lunigiana          |     52 |
| Ap #107-5148 Ullamcorper. Road, Stargard Szczeci?ski          |     52 |
| P.O. Box 380, 8838 Mauris Rd., Ospedaletto Lodigiano          |     52 |
| P.O. Box 597, 2994 Convallis Avenue, Orciano Pisano           |     51 |
| P.O. Box 822, 1439 Dictum Avenue, Alcalá de Henares           |     51 |
| P.O. Box 602, 2674 Tristique Rd., Torrejón de Ardoz           |     51 |
| Ap #628-7437 Sapien Street, Ostrowiec ?wi?tokrzyski           |     51 |
| P.O. Box 626, 8672 Sollicitudin Avenue, Aberystwyth           |     51 |
| P.O. Box 142, 3481 Eros Rd., Campos dos Goytacazes            |     50 |
| P.O. Box 842, 4906 Ante. Avenue, Salon-de-Provence            |     50 |
| P.O. Box 298, 5538 Eleifend. Av., Annapolis County            |     50 |
| P.O. Box 568, 7701 Consectetuer Road, Deschambault            |     50 |
| P.O. Box 425, 5152 Pede. Avenue, Fort Saskatchewan            |     50 |
| Ap #460-7637 Lectus. St., Santa Coloma de Gramenet            |     50 |
| P.O. Box 632, 7941 Eget Road, San Mauro Marchesato            |     50 |
| P.O. Box 980, 5710 Tristique Av., North Battleford            |     50 |
| P.O. Box 988, 2793 Proin Rd., San José de Alajuela            |     50 |
| P.O. Box 906, 5292 Magna Rd., Aparecida de Goiânia            |     50 |
| 651-8983 Aliquam Avenue, L'Hospitalet de Llobregat            |     50 |
| P.O. Box 810, 3121 Vulputate Rd., San Rafael Abajo            |     50 |
| P.O. Box 313, 883 Phasellus Av., Cisano Bergamasco            |     50 |
| P.O. Box 438, 9195 Fermentum Ave, K?dzierzyn-Ko?le            |     50 |
| P.O. Box 300, 7074 Amet Street, Sint-Kruis-Winkel             |     49 |
| Ap #725-6531 Fermentum Rd., Saint-Maur-des-Fossés             |     49 |
| P.O. Box 456, 5438 Rhoncus. Rd., La Seyne-sur-Mer             |     49 |
| P.O. Box 893, 8466 Consectetuer Road, Ikot Ekpene             |     49 |
| 918-8120 Imperdiet Rd., L'Hospitalet de Llobregat             |     49 |
| P.O. Box 621, 5631 Mi Rd., Colleretto Castelnuovo             |     49 |
| P.O. Box 270, 2104 Sit Rd., Campos dos Goytacazes             |     49 |
| 459-7749 Sem Street, Sant'Egidio del Monte Albino             |     49 |
| Ap #345-1166 Convallis Avenue, Caprino Bergamasco             |     49 |
| 733-8353 Malesuada. Street, Aparecida de Goiânia              |     48 |
| 289-8433 Sollicitudin Street, Velaine-sur-Sambre              |     48 |
| P.O. Box 121, 299 Nec Av., San Leucio del Sannio              |     48 |
| P.O. Box 208, 2599 Scelerisque Street, Traralgon              |     48 |
| P.O. Box 471, 6516 Sit Road, Monticelli d'Ongina              |     48 |
| P.O. Box 402, 9933 Interdum Avenue, Ponta Grossa              |     48 |
| P.O. Box 622, 930 Sociosqu Street, Prince George              |     48 |
| P.O. Box 926, 5706 Conubia Ave, Palmerston North              |     48 |
| P.O. Box 680, 5051 Ipsum Avenue, Geertruidenberg              |     48 |
| P.O. Box 300, 2542 Tellus, Street, San Francisco              |     48 |
| Ap #652-3845 Phasellus Street, South Burlington               |     47 |
| P.O. Box 945, 4554 Ullamcorper. Street, Uberaba               |     47 |
| Ap #675-6432 Convallis Road, São João de Meriti               |     47 |
| P.O. Box 251, 427 Class Street, Cassano Spinola               |     47 |
| P.O. Box 988, 3220 Dignissim Street, Edmundston               |     47 |
| Ap #783-5924 Consequat St., Issy-les-Moulineaux               |     47 |
| P.O. Box 335, 3269 Netus Rd., Alcalá de Henares               |     47 |
| P.O. Box 422, 1890 Penatibus Rd., Sorbo Serpico               |     47 |
| P.O. Box 406, 5642 Vestibulum. Ave, Lutterworth               |     47 |
| P.O. Box 141, 5879 Egestas. Street, New Glasgow               |     47 |
| P.O. Box 170, 2167 Non St., Valparaíso de Goiás               |     47 |
| P.O. Box 251, 4516 Diam. St., Meerut Cantonment               |     47 |
